RESP,QE1,QB31,QH1,QH2,QI2D
1000001,2,1,2,2,4
1000003,9,4,,,
1000005,2,1,2,2,5
1000006,1,1,9,,5
1000008,2,3,2,2,5
1000010,1,1,2,1,5
1000012,1,3,2,2,5
1000013,6,1,2,,
1000014,5,3,2,,
1000015,1,3,2,2,9
1000016,2,1,2,2,5
1000017,2,2,2,2,5
1000018,7,4,2,,
1000019,9,2,,,
1000020,12,3,,,
1000022,2,1,2,2,1
1000023,2,3,2,2,5
1000025,2,4,2,2,5
1000026,10,3,,,
1000027,1,4,2,1,5
1000028,2,4,2,2,2
1000030,10,4,,,
1000031,12,3,,,
1000032,1,3,1,,5
1000033,1,1,2,2,5
1000035,2,3,2,2,5
1000036,2,3,2,2,5
1000038,1,3,2,2,4
1000039,2,3,2,2,5
1000040,9,4,,,
1000041,12,3,,,
1000042,2,3,1,,1
1000043,2,3,2,2,5
1000044,2,3,2,2,5
1000045,1,1,2,1,5
1000046,1,3,2,2,3
1000047,12,4,,,
1000050,1,3,9,,5
1000051,1,3,2,9,1
1000052,12,3,,,
1000053,1,3,1,,5
1000054,4,1,2,2,5
1000056,1,1,2,2,5
1000057,1,1,9,,5
1000058,1,1,1,,5
1000059,2,3,2,2,4
1000060,1,1,2,2,1
1000062,1,1,1,,5
1000064,2,1,2,2,1
1000067,1,1,1,,5
1000069,1,4,2,1,3
1000072,10,9,,,
1000073,1,3,1,,5
1000074,1,4,1,,1
1000075,1,1,2,1,5
1000076,1,3,2,2,5
1000077,2,3,2,2,5
1000078,1,9,9,,1
1000079,2,3,2,2,4
1000080,2,3,2,2,3
1000081,1,2,2,2,5
1000082,2,3,2,2,5
1000083,2,2,3,,5
1000084,1,1,1,,1
1000086,1,1,2,1,3
1000089,1,1,1,,5
1000090,1,1,2,1,5
1000091,1,1,1,,5
1000092,2,2,2,2,5
1000093,1,4,2,2,5
1000095,1,3,2,2,4
1000096,3,1,1,,5
1000097,12,9,,,
1000099,1,1,1,,5
1000100,1,3,2,2,5
1000101,2,1,1,,5
1000102,1,1,2,1,1
1000103,7,9,2,,
1000104,3,3,3,,5
1000105,2,3,3,,5
1000106,1,2,2,2,5
1000107,2,3,2,2,5
1000108,2,2,2,2,4
1000109,1,2,1,,5
1000110,1,1,2,1,1
1000112,1,4,1,,5
1000114,2,1,1,,5
1000115,12,2,,,
1000116,13,3,2,2,5
